"from","to","weight","SE","P","ran_SD"
"PIJN","PIJN",0.344,0.025,0,0.15
"PIJN","THREAT",0.043,0.013,0.001,0
"PIJN","ATTEND",0.083,0.019,0,0.07
"PIJN","ENGAGE",-0.048,0.026,0.065,0.102
"THREAT","PIJN",0.096,0.025,0,0.118
"THREAT","THREAT",0.297,0.027,0,0.163
"THREAT","ATTEND",0.125,0.024,0,0.101
"THREAT","ENGAGE",-0.014,0.03,0.631,0.106
"ATTEND","PIJN",0.038,0.018,0.039,0.067
"ATTEND","THREAT",0.045,0.017,0.009,0.077
"ATTEND","ATTEND",0.188,0.025,0,0.149
"ATTEND","ENGAGE",0.028,0.023,0.219,0.042
"ENGAGE","PIJN",0.003,0.012,0.809,0.049
"ENGAGE","THREAT",-0.001,0.009,0.886,0
"ENGAGE","ATTEND",0,0.012,0.996,0.052
"ENGAGE","ENGAGE",0.149,0.021,0,0.125
