"lhs","op","rhs","count.group","count.subgroup2","count.subgroup3","count.ind","path"
"ATTEND","~","ATTENDlag",66,0,0,0,"ATTEND ~ ATTENDlag"
"ENGAGE","~","ENGAGElag",66,0,0,0,"ENGAGE ~ ENGAGElag"
"ATTEND","~","PIJN",66,0,0,0,"ATTEND ~ PIJN"
"PIJN","~","PIJNlag",66,0,0,0,"PIJN ~ PIJNlag"
"THREAT","~","THREATlag",66,0,0,0,"THREAT ~ THREATlag"
"THREAT","~","ATTEND",0,28,0,13,"THREAT ~ ATTEND"
"PIJN","~","THREAT",0,0,27,11,"PIJN ~ THREAT"
"ATTEND","~","THREAT",0,0,0,9,"ATTEND ~ THREAT"
"ENGAGE","~","PIJN",0,0,0,7,"ENGAGE ~ PIJN"
"PIJN","~","ENGAGE",0,0,0,6,"PIJN ~ ENGAGE"
"ATTEND","~","PIJNlag",0,0,0,5,"ATTEND ~ PIJNlag"
"PIJN","~","ATTENDlag",0,0,0,4,"PIJN ~ ATTENDlag"
"ATTEND","~","ENGAGE",0,0,0,4,"ATTEND ~ ENGAGE"
"THREAT","~","PIJN",0,0,0,4,"THREAT ~ PIJN"
"ATTEND","~","THREATlag",0,0,0,4,"ATTEND ~ THREATlag"
"ENGAGE","~","THREATlag",0,0,0,4,"ENGAGE ~ THREATlag"
"PIJN","~","ATTEND",0,0,0,3,"PIJN ~ ATTEND"
"THREAT","~","ATTENDlag",0,0,0,3,"THREAT ~ ATTENDlag"
"ATTEND","~","ENGAGElag",0,0,0,3,"ATTEND ~ ENGAGElag"
"THREAT","~","ENGAGElag",0,0,0,3,"THREAT ~ ENGAGElag"
"ENGAGE","~","THREAT",0,0,0,3,"ENGAGE ~ THREAT"
"PIJN","~","THREATlag",0,0,0,3,"PIJN ~ THREATlag"
"ENGAGE","~","ATTEND",0,0,0,2,"ENGAGE ~ ATTEND"
"ENGAGE","~","PIJNlag",0,0,0,2,"ENGAGE ~ PIJNlag"
"THREAT","~","PIJNlag",0,0,0,2,"THREAT ~ PIJNlag"
"ENGAGE","~","ATTENDlag",0,0,0,1,"ENGAGE ~ ATTENDlag"
"THREAT","~","ENGAGE",0,0,0,1,"THREAT ~ ENGAGE"
