"edge","weight_core4","weight_extended"
"ATTEND__to__ATTEND",0.188,0.179
"ATTEND__to__ENGAGE",0.028,0.034
"ATTEND__to__PIJN",0.038,0.035
"ATTEND__to__THREAT",0.045,0.04
"ENGAGE__to__ATTEND",0,-0.01
"ENGAGE__to__ENGAGE",0.149,0.138
"ENGAGE__to__PIJN",0.003,0.008
"ENGAGE__to__THREAT",-0.001,-0.005
"PIJN__to__ATTEND",0.083,0.084
"PIJN__to__ENGAGE",-0.048,-0.051
"PIJN__to__PIJN",0.344,0.346
"PIJN__to__THREAT",0.043,0.047
"THREAT__to__ATTEND",0.125,0.128
"THREAT__to__ENGAGE",-0.014,-0.013
"THREAT__to__PIJN",0.096,0.096
"THREAT__to__THREAT",0.297,0.298
