"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.338,0.025,0,0.154,"PIJN__to__PIJN"
"PIJN","THREAT",0.04,0.014,0.003,0,"PIJN__to__THREAT"
"PIJN","ATTEND",0.088,0.017,0,0.03,"PIJN__to__ATTEND"
"PIJN","ENGAGE",-0.03,0.026,0.256,0.105,"PIJN__to__ENGAGE"
"THREAT","PIJN",0.088,0.025,0,0.115,"THREAT__to__PIJN"
"THREAT","THREAT",0.294,0.027,0,0.163,"THREAT__to__THREAT"
"THREAT","ATTEND",0.128,0.026,0,0.119,"THREAT__to__ATTEND"
"THREAT","ENGAGE",0.004,0.03,0.886,0.108,"THREAT__to__ENGAGE"
"ATTEND","PIJN",0.054,0.016,0.001,0.024,"ATTEND__to__PIJN"
"ATTEND","THREAT",0.048,0.018,0.006,0.088,"ATTEND__to__THREAT"
"ATTEND","ATTEND",0.216,0.025,0,0.147,"ATTEND__to__ATTEND"
"ATTEND","ENGAGE",-0.026,0.021,0.228,0,"ATTEND__to__ENGAGE"
"ENGAGE","PIJN",0.004,0.012,0.731,0.048,"ENGAGE__to__PIJN"
"ENGAGE","THREAT",-0.001,0.009,0.939,0,"ENGAGE__to__THREAT"
"ENGAGE","ATTEND",-0.006,0.012,0.596,0.042,"ENGAGE__to__ATTEND"
"ENGAGE","ENGAGE",0.15,0.021,0,0.124,"ENGAGE__to__ENGAGE"
