"edge","from","to","weight","mean","min","max","prop_sign_consistent"
"ATTEND__to__ATTEND","ATTEND","ATTEND",0.188,0.188411764705882,0.18,0.194,1
"ATTEND__to__ENGAGE","ATTEND","ENGAGE",0.028,0.0284411764705882,0.018,0.035,1
"ATTEND__to__PIJN","ATTEND","PIJN",0.038,0.0380294117647059,0.026,0.043,1
"ATTEND__to__THREAT","ATTEND","THREAT",0.045,0.0451176470588235,0.039,0.051,1
"ENGAGE__to__ATTEND","ENGAGE","ATTEND",0,-7.35294117647059e-05,-0.003,0.004,0.161764705882353
"ENGAGE__to__ENGAGE","ENGAGE","ENGAGE",0.149,0.149470588235294,0.143,0.156,1
"ENGAGE__to__PIJN","ENGAGE","PIJN",0.003,0.00277941176470588,-0.003,0.006,0.970588235294118
"ENGAGE__to__THREAT","ENGAGE","THREAT",-0.001,-0.00122058823529412,-0.003,0.002,0.779411764705882
"PIJN__to__ATTEND","PIJN","ATTEND",0.083,0.0826323529411765,0.076,0.088,1
"PIJN__to__ENGAGE","PIJN","ENGAGE",-0.048,-0.047735294117647,-0.06,-0.037,1
"PIJN__to__PIJN","PIJN","PIJN",0.344,0.344235294117647,0.337,0.353,1
"PIJN__to__THREAT","PIJN","THREAT",0.043,0.0432794117647059,0.038,0.047,1
"THREAT__to__ATTEND","THREAT","ATTEND",0.125,0.125485294117647,0.116,0.135,1
"THREAT__to__ENGAGE","THREAT","ENGAGE",-0.014,-0.0144852941176471,-0.023,-0.006,1
"THREAT__to__PIJN","THREAT","PIJN",0.096,0.0960588235294118,0.086,0.102,1
"THREAT__to__THREAT","THREAT","THREAT",0.297,0.296867647058824,0.287,0.305,1
