"edge","from","to","weight_ref","weight_thr70","abs_diff"
"ATTEND__to__ATTEND","ATTEND","ATTEND",0.188,0.194,0.006
"ATTEND__to__ENGAGE","ATTEND","ENGAGE",0.028,0.03,0.002
"ATTEND__to__PIJN","ATTEND","PIJN",0.038,0.038,0
"ATTEND__to__THREAT","ATTEND","THREAT",0.045,0.05,0.005
"ENGAGE__to__ATTEND","ENGAGE","ATTEND",0,-0.007,0.007
"ENGAGE__to__ENGAGE","ENGAGE","ENGAGE",0.149,0.15,0.001
"ENGAGE__to__PIJN","ENGAGE","PIJN",0.003,-0.003,0.006
"ENGAGE__to__THREAT","ENGAGE","THREAT",-0.001,-0.006,0.005
"PIJN__to__ATTEND","PIJN","ATTEND",0.083,0.086,0.00299999999999999
"PIJN__to__ENGAGE","PIJN","ENGAGE",-0.048,-0.05,0.002
"PIJN__to__PIJN","PIJN","PIJN",0.344,0.348,0.004
"PIJN__to__THREAT","PIJN","THREAT",0.043,0.04,0.003
"THREAT__to__ATTEND","THREAT","ATTEND",0.125,0.121,0.004
"THREAT__to__ENGAGE","THREAT","ENGAGE",-0.014,-0.02,0.006
"THREAT__to__PIJN","THREAT","PIJN",0.096,0.091,0.005
"THREAT__to__THREAT","THREAT","THREAT",0.297,0.298,0.001
