"outcome","term","estimate","SE","p","n_day"
"eve_pain_interference","(Intercept)",4.248,0.141,0,739
"eve_pain_interference","PIJN_wc",-0.193,0.096,0.0446,739
"eve_pain_interference","ATTEND_wc",-0.015,0.097,0.8783,739
"eve_pain_interference","THREAT_wc",0.243,0.119,0.0409,739
"eve_pain_interference","ENGAGE_wc",0.071,0.058,0.2279,739
"eve_goal_success","(Intercept)",4.414,0.127,0,737
"eve_goal_success","PIJN_wc",-0.024,0.117,0.84,737
"eve_goal_success","ATTEND_wc",-0.122,0.119,0.307,737
"eve_goal_success","THREAT_wc",0.314,0.145,0.0307,737
"eve_goal_success","ENGAGE_wc",0.045,0.071,0.5246,737
