"model","outcome","term","estimate","SE","lo","hi","df","t","p","n_obs"
"composite","PIJN","(Intercept)",4.508,0.129,4.254,4.762,68.1,34.83,4.205e-45,5969
"composite","PIJN","FLOWEXP_w",-0.093,0.011,-0.114,-0.072,5901.2,-8.63,7.666e-18,5969
"composite","PIJN","ACTIEF_w",0.014,0.009,-0.003,0.031,5901.9,1.61,0.1064,5969
"constituents","PIJN","(Intercept)",4.509,0.129,4.255,4.763,68.1,34.83,4.146e-45,5969
"constituents","PIJN","ENGAGE_w",-0.055,0.011,-0.077,-0.032,5901.2,-4.79,1.711e-06,5969
"constituents","PIJN","VALENCE_w",-0.023,0.013,-0.049,0.003,5901.3,-1.7,0.08845,5969
"constituents","PIJN","CHALLENGE_w",0.032,0.011,0.01,0.053,5901.2,2.87,0.004122,5969
"constituents","PIJN","EFFIC_w",-0.045,0.013,-0.07,-0.019,5901.3,-3.43,0.000615,5969
"constituents","PIJN","ACTIEF_w",0,0.01,-0.02,0.02,5901.8,-0.01,0.9891,5969
"composite","PIJN_AFF","(Intercept)",3.828,0.145,3.543,4.112,68.1,26.39,1.718e-37,5931
"composite","PIJN_AFF","FLOWEXP_w",-0.134,0.013,-0.16,-0.108,5863.3,-10.22,2.618e-24,5931
"composite","PIJN_AFF","ACTIEF_w",0.056,0.011,0.035,0.076,5864.2,5.32,1.102e-07,5931
"constituents","PIJN_AFF","(Intercept)",3.829,0.145,3.545,4.113,68.1,26.39,1.706e-37,5931
"constituents","PIJN_AFF","ENGAGE_w",-0.062,0.014,-0.089,-0.035,5863.4,-4.48,7.637e-06,5931
"constituents","PIJN_AFF","VALENCE_w",-0.057,0.016,-0.088,-0.025,5863.4,-3.48,0.0005012,5931
"constituents","PIJN_AFF","CHALLENGE_w",0.053,0.013,0.027,0.08,5863.3,3.99,6.665e-05,5931
"constituents","PIJN_AFF","EFFIC_w",-0.063,0.016,-0.094,-0.032,5863.4,-3.99,6.703e-05,5931
"constituents","PIJN_AFF","ACTIEF_w",0.027,0.012,0.003,0.051,5864.1,2.18,0.02938,5931
"composite","ATTEND","(Intercept)",2.929,0.146,2.642,3.215,67.9,20.04,3.274e-30,5941
"composite","ATTEND","FLOWEXP_w",-0.079,0.011,-0.101,-0.058,5873,-7.33,2.614e-13,5941
"composite","ATTEND","ACTIEF_w",0.022,0.009,0.005,0.039,5873.5,2.52,0.01162,5941
"constituents","ATTEND","(Intercept)",2.93,0.146,2.643,3.216,67.9,20.04,3.244e-30,5941
"constituents","ATTEND","ENGAGE_w",-0.029,0.011,-0.051,-0.006,5873,-2.49,0.01273,5941
"constituents","ATTEND","VALENCE_w",-0.035,0.013,-0.061,-0.009,5873,-2.61,0.009169,5941
"constituents","ATTEND","CHALLENGE_w",0.031,0.011,0.009,0.052,5873,2.76,0.005754,5941
"constituents","ATTEND","EFFIC_w",-0.049,0.013,-0.075,-0.024,5873.1,-3.78,0.0001607,5941
"constituents","ATTEND","ACTIEF_w",0.004,0.01,-0.016,0.024,5873.5,0.36,0.7179,5941
"composite","THREAT","(Intercept)",2.239,0.134,1.977,2.501,68,16.77,7.41e-26,5947
"composite","THREAT","FLOWEXP_w",-0.066,0.008,-0.082,-0.05,5879.1,-7.99,1.549e-15,5947
"composite","THREAT","ACTIEF_w",0.024,0.007,0.011,0.037,5879.5,3.63,0.0002897,5947
"constituents","THREAT","(Intercept)",2.24,0.134,1.978,2.502,68,16.76,7.526e-26,5947
"constituents","THREAT","ENGAGE_w",-0.023,0.009,-0.04,-0.006,5879.1,-2.65,0.008039,5947
"constituents","THREAT","VALENCE_w",-0.044,0.01,-0.064,-0.024,5879.1,-4.3,1.735e-05,5947
"constituents","THREAT","CHALLENGE_w",0.035,0.008,0.019,0.052,5879.1,4.19,2.807e-05,5947
"constituents","THREAT","EFFIC_w",-0.026,0.01,-0.045,-0.006,5879.2,-2.57,0.01005,5947
"constituents","THREAT","ACTIEF_w",0.003,0.008,-0.012,0.018,5879.5,0.36,0.7211,5947
